id,name,mal_id,source,image,image_fallback,image_small,rarity,active
4682,Izuminokami Kanesada,134414,,https://cdn.myanimelist.net/images/characters/15/347350.webp,https://cdn.myanimelist.net/images/characters/15/347350.jpg,https://cdn.myanimelist.net/images/characters/15/347350t.webp,0,1
4683,Tailmon,9954,,https://cdn.myanimelist.net/images/characters/15/105205.webp,https://cdn.myanimelist.net/images/characters/15/105205.jpg,https://cdn.myanimelist.net/images/characters/15/105205t.webp,0,1
4684,Magna Swing,127049,,https://cdn.myanimelist.net/images/characters/14/338846.webp,https://cdn.myanimelist.net/images/characters/14/338846.jpg,https://cdn.myanimelist.net/images/characters/14/338846t.webp,0,1
4685,Soma Asman Kadar,16733,,https://cdn.myanimelist.net/images/characters/6/249573.webp,https://cdn.myanimelist.net/images/characters/6/249573.jpg,https://cdn.myanimelist.net/images/characters/6/249573t.webp,0,1
4686,Akira Iwakiyamayukisatoshironanogojuurokushi,151840,,https://cdn.myanimelist.net/images/characters/4/397076.webp,https://cdn.myanimelist.net/images/characters/4/397076.jpg,https://cdn.myanimelist.net/images/characters/4/397076t.webp,0,1
4687,Hiro Kurusu,127528,,https://cdn.myanimelist.net/images/characters/7/280420.webp,https://cdn.myanimelist.net/images/characters/7/280420.jpg,https://cdn.myanimelist.net/images/characters/7/280420t.webp,0,1
4688,Miu Iruma,156029,,https://cdn.myanimelist.net/images/characters/3/349219.webp,https://cdn.myanimelist.net/images/characters/3/349219.jpg,https://cdn.myanimelist.net/images/characters/3/349219t.webp,0,1
4689,Touji Souya,31352,,https://cdn.myanimelist.net/images/characters/13/326395.webp,https://cdn.myanimelist.net/images/characters/13/326395.jpg,https://cdn.myanimelist.net/images/characters/13/326395t.webp,0,1
4690,Commissioner Q,159468,,https://cdn.myanimelist.net/images/characters/16/413598.webp,https://cdn.myanimelist.net/images/characters/16/413598.jpg,https://cdn.myanimelist.net/images/characters/16/413598t.webp,0,1
4691,Risu,31212,,https://cdn.myanimelist.net/images/characters/4/196657.webp,https://cdn.myanimelist.net/images/characters/4/196657.jpg,https://cdn.myanimelist.net/images/characters/4/196657t.webp,0,1
4692,Tennosuke Tokoro,3229,,https://cdn.myanimelist.net/images/characters/2/123487.webp,https://cdn.myanimelist.net/images/characters/2/123487.jpg,https://cdn.myanimelist.net/images/characters/2/123487t.webp,0,1
4693,Suzue Kanbe,180942,,https://cdn.myanimelist.net/images/characters/3/406081.webp,https://cdn.myanimelist.net/images/characters/3/406081.jpg,https://cdn.myanimelist.net/images/characters/3/406081t.webp,0,1
4694,Misuzu Kusakabe,23639,,https://cdn.myanimelist.net/images/characters/4/69172.webp,https://cdn.myanimelist.net/images/characters/4/69172.jpg,https://cdn.myanimelist.net/images/characters/4/69172t.webp,0,1
4695,Hajime Kindaichi,17650,,https://cdn.myanimelist.net/images/characters/3/289646.webp,https://cdn.myanimelist.net/images/characters/3/289646.jpg,https://cdn.myanimelist.net/images/characters/3/289646t.webp,0,1
4696,Saori Makishima,31844,,https://cdn.myanimelist.net/images/characters/12/102464.webp,https://cdn.myanimelist.net/images/characters/12/102464.jpg,https://cdn.myanimelist.net/images/characters/12/102464t.webp,0,1
4697,Kadaj,2926,,https://cdn.myanimelist.net/images/characters/13/78132.webp,https://cdn.myanimelist.net/images/characters/13/78132.jpg,https://cdn.myanimelist.net/images/characters/13/78132t.webp,0,1
4698,Jiwon Ahn,194163,,https://cdn.myanimelist.net/images/characters/16/473209.webp,https://cdn.myanimelist.net/images/characters/16/473209.jpg,https://cdn.myanimelist.net/images/characters/16/473209t.webp,0,1
4699,Junta Teshima,89297,,https://cdn.myanimelist.net/images/characters/7/314803.webp,https://cdn.myanimelist.net/images/characters/7/314803.jpg,https://cdn.myanimelist.net/images/characters/7/314803t.webp,0,1
4700,Il-Hwan Sung,173989,,https://cdn.myanimelist.net/images/characters/10/443369.webp,https://cdn.myanimelist.net/images/characters/10/443369.jpg,https://cdn.myanimelist.net/images/characters/10/443369t.webp,0,1
4701,Mao Amatsuka,74079,,https://cdn.myanimelist.net/images/characters/5/192753.webp,https://cdn.myanimelist.net/images/characters/5/192753.jpg,https://cdn.myanimelist.net/images/characters/5/192753t.webp,0,1
4702,You Kasukabe,69439,,https://cdn.myanimelist.net/images/characters/9/192541.webp,https://cdn.myanimelist.net/images/characters/9/192541.jpg,https://cdn.myanimelist.net/images/characters/9/192541t.webp,0,1
4703,Aichi Sendou,39539,,https://cdn.myanimelist.net/images/characters/15/155017.webp,https://cdn.myanimelist.net/images/characters/15/155017.jpg,https://cdn.myanimelist.net/images/characters/15/155017t.webp,0,1
4704,Jin-Ho Yoo,173987,,https://cdn.myanimelist.net/images/characters/16/531271.webp,https://cdn.myanimelist.net/images/characters/16/531271.jpg,https://cdn.myanimelist.net/images/characters/16/531271t.webp,0,1
4705,Yoshino Koharu,147481,,https://cdn.myanimelist.net/images/characters/10/322603.webp,https://cdn.myanimelist.net/images/characters/10/322603.jpg,https://cdn.myanimelist.net/images/characters/10/322603t.webp,0,1
4706,Fen Shi,149853,,https://cdn.myanimelist.net/images/characters/10/327739.webp,https://cdn.myanimelist.net/images/characters/10/327739.jpg,https://cdn.myanimelist.net/images/characters/10/327739t.webp,0,1
4707,Lunch,2105,,https://cdn.myanimelist.net/images/characters/13/126159.webp,https://cdn.myanimelist.net/images/characters/13/126159.jpg,https://cdn.myanimelist.net/images/characters/13/126159t.webp,0,1
4708,Lance Crown,182831,,https://cdn.myanimelist.net/images/characters/10/506220.webp,https://cdn.myanimelist.net/images/characters/10/506220.jpg,https://cdn.myanimelist.net/images/characters/10/506220t.webp,0,1
4709,Silence Suzuka,150711,,https://cdn.myanimelist.net/images/characters/16/574439.webp,https://cdn.myanimelist.net/images/characters/16/574439.jpg,https://cdn.myanimelist.net/images/characters/16/574439t.webp,0,1
4710,Rita Vrataski,84787,,https://cdn.myanimelist.net/images/characters/15/246687.webp,https://cdn.myanimelist.net/images/characters/15/246687.jpg,https://cdn.myanimelist.net/images/characters/15/246687t.webp,0,1
4711,Tamayo,151157,,https://cdn.myanimelist.net/images/characters/14/384692.webp,https://cdn.myanimelist.net/images/characters/14/384692.jpg,https://cdn.myanimelist.net/images/characters/14/384692t.webp,0,1
4712,Serie,211285,,https://cdn.myanimelist.net/images/characters/4/536851.webp,https://cdn.myanimelist.net/images/characters/4/536851.jpg,https://cdn.myanimelist.net/images/characters/4/536851t.webp,0,1
4713,Maya Tendou,151677,,https://cdn.myanimelist.net/images/characters/2/331771.webp,https://cdn.myanimelist.net/images/characters/2/331771.jpg,https://cdn.myanimelist.net/images/characters/2/331771t.webp,0,1
4714,IA,97867,,https://cdn.myanimelist.net/images/characters/13/230363.webp,https://cdn.myanimelist.net/images/characters/13/230363.jpg,https://cdn.myanimelist.net/images/characters/13/230363t.webp,0,1
4715,Erika Shinohara,61775,,https://cdn.myanimelist.net/images/characters/14/258689.webp,https://cdn.myanimelist.net/images/characters/14/258689.jpg,https://cdn.myanimelist.net/images/characters/14/258689t.webp,0,1
4716,Hana Nono,157504,,https://cdn.myanimelist.net/images/characters/14/362834.webp,https://cdn.myanimelist.net/images/characters/14/362834.jpg,https://cdn.myanimelist.net/images/characters/14/362834t.webp,0,1
4717,Kaori Makimura,2066,,https://cdn.myanimelist.net/images/characters/14/249971.webp,https://cdn.myanimelist.net/images/characters/14/249971.jpg,https://cdn.myanimelist.net/images/characters/14/249971t.webp,0,1
4718,Pazu,8524,,https://cdn.myanimelist.net/images/characters/9/344781.webp,https://cdn.myanimelist.net/images/characters/9/344781.jpg,https://cdn.myanimelist.net/images/characters/9/344781t.webp,0,1
4719,Irene Adler,168939,,https://cdn.myanimelist.net/images/characters/5/403802.webp,https://cdn.myanimelist.net/images/characters/5/403802.jpg,https://cdn.myanimelist.net/images/characters/5/403802t.webp,0,1
4720,Kouen Ren,54577,,https://cdn.myanimelist.net/images/characters/13/200849.webp,https://cdn.myanimelist.net/images/characters/13/200849.jpg,https://cdn.myanimelist.net/images/characters/13/200849t.webp,0,1
4721,Sonic,119757,,https://cdn.myanimelist.net/images/characters/4/275172.webp,https://cdn.myanimelist.net/images/characters/4/275172.jpg,https://cdn.myanimelist.net/images/characters/4/275172t.webp,0,1
4722,Yoshio Kobayashi,141278,,https://cdn.myanimelist.net/images/characters/11/307537.webp,https://cdn.myanimelist.net/images/characters/11/307537.jpg,https://cdn.myanimelist.net/images/characters/11/307537t.webp,0,1
4723,Patema,55155,,https://cdn.myanimelist.net/images/characters/4/287665.webp,https://cdn.myanimelist.net/images/characters/4/287665.jpg,https://cdn.myanimelist.net/images/characters/4/287665t.webp,0,1
4724,Keiichi Katakura,83683,,https://cdn.myanimelist.net/images/characters/7/230005.webp,https://cdn.myanimelist.net/images/characters/7/230005.jpg,https://cdn.myanimelist.net/images/characters/7/230005t.webp,0,1
4725,Bernard Wiseman,1414,,https://cdn.myanimelist.net/images/characters/9/84523.webp,https://cdn.myanimelist.net/images/characters/9/84523.jpg,https://cdn.myanimelist.net/images/characters/9/84523t.webp,0,1
4726,Peko Pekoyama,73231,,https://cdn.myanimelist.net/images/characters/7/323871.webp,https://cdn.myanimelist.net/images/characters/7/323871.jpg,https://cdn.myanimelist.net/images/characters/7/323871t.webp,0,1
